id,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
1,69,0,0,0,1,0,0,1,0,1
3,34,1,0,10,1,0,0,1,1,1
4,24,1,4,1,1,0,0,1,1,1
7,44,0,0,1,0,1,0,1,0,1
8,41,1,14,6,1,0,0,1,0,1
9,43,0,3,0,1,0,0,1,0,1
10,39,0,0,2,0,1,1,0,0,1
14,27,0,0,1,1,0,0,1,0,1
15,23,1,3,4,0,1,0,1,1,1
16,37,0,0,0,0,1,1,0,0,1
18,41,0,0,0,1,0,0,1,1,1
19,47,1,1,14,1,0,1,0,0,1
20,31,1,7,3,1,0,0,1,1,1
21,37,0,0,0,0,1,0,1,0,1
22,25,0,3,1,1,0,0,1,1,0
23,31,1,6,1,1,0,0,1,0,1
24,31,1,5,1,1,0,0,1,0,1
25,64,1,13,1,1,0,0,1,1,1
26,21,1,1,3,1,0,0,1,1,0
27,27,1,0,0,0,1,0,1,0,1
28,21,0,0,1,1,0,1,0,0,1
30,24,1,1,0,1,0,0,1,0,1
32,43,0,1,1,0,1,0,1,0,1
33,32,0,0,1,0,1,0,1,0,1
37,27,1,8,17,1,0,0,1,1,1
39,26,1,5,0,1,0,0,1,1,1
40,33,1,0,37,1,0,0,1,1,0
41,30,1,9,44,1,0,0,1,0,0
42,32,1,4,1,1,0,0,1,1,0
45,55,0,0,2,1,0,0,1,0,1
50,49,1,7,3,1,0,0,1,0,1
52,33,1,4,11,0,1,1,0,0,1
53,24,1,1,1,0,1,0,1,0,1
54,34,1,21,33,1,0,0,1,1,0
55,29,0,0,-1,0,1,0,1,0,1
56,21,0,2,79,1,0,1,0,1,0
57,51,0,2,1,0,1,0,1,1,1
59,29,1,2,0,0,1,0,1,0,1
61,51,0,7,1,1,0,1,0,1,1
64,29,1,0,0,1,0,0,1,1,1
66,25,1,9,6,0,1,0,1,0,0
67,35,1,13,0,1,0,0,1,1,0
68,49,0,0,0,0,1,0,1,0,1
70,29,0,0,0,1,0,0,1,1,1
71,29,1,1,0,1,0,0,1,0,1
72,28,0,0,0,1,0,1,0,0,1
79,31,0,15,135,1,0,0,1,1,1
80,24,1,2,1,1,0,0,1,1,1
83,30,0,0,23,0,1,0,1,0,1
84,49,0,4,0,0,1,0,1,1,1
85,53,0,8,13,1,0,0,1,0,1
87,35,0,5,0,1,0,0,1,1,1
90,27,1,15,1,1,0,0,1,1,0
91,38,1,4,1,0,1,0,1,0,1
93,22,1,1,1,1,0,0,1,1,1
96,29,1,4,18,1,0,0,1,1,0
97,62,0,0,-1,0,1,0,1,0,1
98,27,1,6,30,1,0,0,1,1,1
99,33,0,0,1,0,1,0,1,0,1
100,56,0,0,3,0,1,1,0,1,1
101,45,1,6,241,1,0,0,1,0,1
102,22,0,1,1,1,0,0,1,0,1
105,39,0,1,4,0,1,0,1,1,1
107,29,1,5,1,1,0,0,1,1,1
108,27,1,1,14,1,0,0,1,0,1
111,40,0,2,3,1,0,0,1,1,1
113,22,1,1,16,0,1,0,1,1,1
114,22,0,0,57,1,0,0,1,0,0
115,26,1,1,2,1,0,1,0,1,1
119,32,0,0,1,1,0,0,1,1,1
120,41,0,1,1,0,1,0,1,1,1
122,30,1,8,1,0,1,0,1,1,0
127,50,1,0,0,1,0,0,1,0,1
128,25,1,14,7,1,0,0,1,1,0
130,20,1,0,1,1,0,0,1,0,1
131,22,1,2,30,1,0,0,1,1,0
136,35,0,1,0,0,1,1,0,1,1
137,36,1,9,3,1,0,0,1,1,1
138,26,1,7,0,1,0,0,1,0,0
139,21,1,1,3,1,0,0,1,0,1
142,25,1,9,0,1,0,0,1,0,0
145,20,0,0,0,1,0,1,0,0,1
146,39,1,2,-1,1,0,0,1,0,1
148,54,0,0,0,0,1,1,0,0,1
150,44,0,0,1,0,1,1,0,0,1
151,19,1,1,9,0,1,0,1,1,1
153,30,0,1,0,1,0,0,1,1,1
154,39,1,0,1,1,0,1,0,0,1
156,24,1,8,12,1,0,0,1,0,1
157,30,0,0,5,1,0,0,1,0,1
158,31,0,0,38,0,1,0,1,0,1
159,39,0,1,106,1,0,1,0,0,1
163,43,0,1,1,1,0,0,1,0,1
166,21,1,3,6,1,0,0,1,1,0
169,38,1,5,2,0,1,0,1,0,1
171,34,0,0,14,1,0,0,1,0,1
173,33,1,5,0,1,0,0,1,1,1
174,37,0,3,1,1,0,0,1,1,1
175,42,1,1,0,1,0,0,1,0,1
176,41,1,10,176,1,0,0,1,1,0
177,22,1,0,0,1,0,0,1,1,1
178,33,1,28,1,1,0,0,1,1,0
180,31,0,1,1,0,1,0,1,1,1
182,30,0,1,1,1,0,1,0,0,1
183,31,1,13,471,1,0,0,1,0,0
184,27,1,3,0,1,0,0,1,1,0
189,52,0,3,0,0,1,0,1,0,0
190,33,1,19,0,1,0,0,1,1,0
194,42,0,6,-1,1,0,0,1,0,1
195,25,0,2,3,1,0,1,0,0,1
197,30,0,1,3,0,1,0,1,0,1
200,37,0,2,1,0,1,1,0,0,1
202,28,1,0,0,0,1,0,1,0,1
203,24,0,0,2,0,1,1,0,1,1
206,29,1,10,7,1,0,1,0,0,1
208,44,1,2,-1,0,1,0,1,0,1
210,32,1,3,8,1,0,0,1,1,1
213,31,1,2,15,0,1,0,1,0,1
215,31,0,1,1,0,1,0,1,1,1
216,59,1,1,0,1,0,0,1,0,1
220,20,0,1,2,1,0,1,0,1,0
222,43,0,0,0,0,1,1,0,0,1
223,38,1,9,13,1,0,0,1,1,0
224,32,1,11,1,1,0,0,1,1,1
225,33,1,8,0,0,1,0,1,1,1
227,31,1,0,1,1,0,1,0,1,1
228,33,1,7,26,1,0,1,0,1,0
229,27,1,2,1,1,0,0,1,1,0
231,20,0,0,0,1,0,1,0,1,1
232,26,0,0,0,0,1,1,0,0,1
234,61,1,1,0,1,0,1,0,1,1
235,52,1,13,1,1,0,0,1,0,1
236,63,0,1,14,1,0,0,1,0,1
238,32,1,4,6,1,0,1,0,1,0
239,29,0,1,0,1,0,0,1,0,1
241,26,1,2,0,0,1,1,0,1,1
243,39,0,1,3,0,1,0,1,0,1
244,30,1,3,530,1,0,1,0,0,1
245,30,0,1,70,1,0,0,1,1,1
246,48,0,2,0,0,1,0,1,0,1
248,22,0,1,0,1,0,0,1,1,1
249,46,1,6,22,1,0,0,1,0,1
252,31,0,0,2,1,0,0,1,0,1
254,25,1,1,1,0,1,0,1,1,1
257,23,0,0,0,1,0,0,1,0,1
258,32,0,5,1,1,0,1,0,1,1
259,52,0,2,3,0,1,0,1,0,1
260,62,0,8,15,1,0,0,1,1,1
264,31,1,8,117,1,0,0,1,0,0
265,28,1,6,0,0,1,0,1,1,1
266,54,0,2,188,1,0,0,1,0,1
267,58,0,0,0,1,0,0,1,0,1
268,78,1,1,0,0,1,0,1,0,1
269,56,0,0,1,1,0,0,1,0,1
271,24,0,0,1,1,0,0,1,0,1
275,22,1,1,0,1,0,0,1,1,1
277,47,1,23,0,0,1,0,1,1,0
278,23,1,0,1,0,1,0,1,1,1
279,57,0,1,19,1,0,0,1,0,1
281,66,0,3,2,1,0,0,1,1,1
282,45,1,8,71,0,1,0,1,0,1
287,37,1,2,0,0,1,0,1,1,0
288,39,1,0,0,1,0,0,1,0,1
289,26,1,9,79,1,0,0,1,1,0
291,45,0,2,358,1,0,0,1,0,1
293,23,1,0,0,1,0,0,1,1,1
294,34,0,2,25,0,1,0,1,1,1
297,23,0,1,0,0,1,1,0,1,1
298,36,1,2,2,0,1,0,1,0,1
299,50,0,1,1,1,0,0,1,0,1
300,37,0,0,0,0,1,1,0,0,1
301,44,0,4,1,0,1,0,1,0,1
302,35,1,23,2,1,0,1,0,1,0
304,24,1,5,0,1,0,0,1,0,1
306,26,1,2,1,1,0,0,1,1,0
308,27,0,0,2,0,1,0,1,1,1
310,28,0,0,29,1,0,1,0,1,0
313,28,1,7,1,1,0,1,0,0,0
315,38,0,2,1,1,0,0,1,1,1
317,28,0,1,38,1,0,1,0,1,0
319,56,1,7,0,1,0,0,1,0,1
320,38,0,15,1,1,0,0,1,1,0
321,28,0,2,0,0,1,0,1,1,1
326,51,1,0,0,0,1,1,0,0,1
327,51,0,0,0,0,1,0,1,0,1
