id,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
4797,33,0,9,0,1,0,0,1,0,1
3598,34,0,1,0,1,0,0,1,1,1
7910,31,0,7,1,0,1,0,1,1,1
6399,35,0,5,0,1,0,0,1,0,1
3411,27,0,0,1,1,0,1,0,0,1
893,31,0,0,0,0,1,0,1,0,1
6056,31,1,17,1,1,0,0,1,0,0
7752,25,1,5,1,1,0,0,1,0,1
7449,36,1,13,2,1,0,0,1,1,0
8469,29,1,4,1,1,0,0,1,1,1
1044,36,0,4,2,0,1,0,1,1,1
2165,53,1,0,1,0,1,0,1,1,1
850,21,1,3,-1,1,0,0,1,1,1
10367,32,1,4,1,1,0,0,1,1,1
2718,35,1,0,1,1,0,1,0,1,1
5177,37,1,3,2,0,1,0,1,0,1
1336,50,0,1,1,1,0,0,1,0,1
2759,32,0,6,0,0,1,0,1,0,1
4686,50,0,0,1,0,1,1,0,1,1
5506,24,1,3,7,1,0,0,1,0,1
1684,24,0,2,2,1,0,1,0,0,1
9484,41,0,1,29,0,1,1,0,0,1
6080,25,1,1,1,0,1,0,1,1,1
10531,40,1,8,6,1,0,0,1,0,0
7199,28,0,1,0,1,0,0,1,1,1
1908,20,1,0,0,0,1,0,1,0,0
3112,35,0,0,1,1,0,0,1,1,0
2720,41,0,1,113,0,1,0,1,0,1
8400,52,1,0,0,0,1,0,1,0,1
6896,31,1,0,-1,1,0,0,1,0,0
5638,37,0,2,0,0,1,0,1,0,1
2349,45,0,3,36,1,0,0,1,1,0
1056,47,1,2,2,1,0,0,1,0,1
3653,26,0,0,0,1,0,0,1,1,1
1470,54,1,4,78,0,1,0,1,1,1
6615,47,0,0,3,1,0,1,0,0,1
1109,45,1,0,2,1,0,0,1,1,1
9224,39,0,0,1,1,0,0,1,0,1
10244,47,1,5,0,0,1,0,1,0,1
965,38,0,0,1,1,0,0,1,1,1
3854,22,1,1,15,1,0,0,1,1,1
8522,25,1,10,7,1,0,0,1,0,0
10765,26,0,0,0,1,0,0,1,1,1
390,27,0,4,0,1,0,0,1,1,1
10277,30,0,14,5,1,0,0,1,1,1
5455,32,0,4,0,1,0,1,0,0,1
637,22,1,1,0,1,0,0,1,0,1
10010,21,1,0,1,1,0,0,1,1,0
6362,29,1,0,1,1,0,1,0,0,1
8634,44,0,0,1,1,0,0,1,1,1
5431,43,1,3,1,0,1,1,0,0,1
7462,53,1,3,2,0,1,0,1,0,1
3801,61,0,0,2,0,1,0,1,0,1
844,58,0,6,144,1,0,0,1,1,1
8147,32,1,17,112,1,0,0,1,1,0
10927,21,0,1,29,1,0,0,1,1,1
1438,26,0,0,0,1,0,1,0,0,1
9912,26,0,0,0,1,0,0,1,0,1
2300,55,1,13,0,1,0,0,1,0,1
5064,28,1,2,10,1,0,0,1,0,1
1171,28,0,0,1,1,0,0,1,0,1
2533,19,1,0,2,0,1,0,1,0,1
3417,28,0,3,1,1,0,0,1,0,1
8153,60,0,0,1,0,1,0,1,0,1
3174,21,1,0,6,1,0,0,1,0,1
4331,50,1,24,32,0,1,0,1,1,0
7406,22,1,1,38,1,0,0,1,1,0
727,56,0,0,0,1,0,0,1,0,1
7469,31,1,4,4,1,0,0,1,1,1
8920,35,1,7,2,1,0,1,0,1,1
597,27,1,12,31,1,0,0,1,1,0
2817,27,0,1,1,1,0,0,1,0,0
6754,23,0,0,0,0,1,1,0,0,1
7806,35,0,3,1,0,1,0,1,0,1
6326,23,1,3,26,0,1,0,1,0,0
8399,28,1,18,0,1,0,0,1,1,0
10176,41,1,12,0,1,0,0,1,1,1
91,38,1,4,1,0,1,0,1,0,1
4812,22,0,0,1,0,1,1,0,0,0
1106,42,0,1,0,1,0,0,1,0,1
7324,30,0,0,0,1,0,0,1,0,1
10655,42,0,0,281,1,0,1,0,0,1
6863,33,0,0,40,1,0,0,1,1,1
8133,43,1,1,31,1,0,0,1,1,1
8577,69,0,2,0,0,1,1,0,0,1
8988,20,0,1,2,1,0,0,1,1,1
10627,33,0,2,14,1,0,0,1,0,1
6798,23,0,3,9,1,0,0,1,0,1
4947,21,1,3,17,0,1,0,1,1,0
3759,31,0,14,1,1,0,1,0,1,0
8211,39,0,1,0,1,0,0,1,0,1
6550,56,1,12,1,1,0,0,1,1,1
5996,29,1,29,5,1,0,0,1,1,0
9493,31,0,0,8,1,0,0,1,1,1
10954,22,0,1,0,1,0,1,0,0,1
10380,38,0,0,1,0,1,1,0,0,1
6536,59,0,3,2,0,1,0,1,0,1
