,Model,K-Shot,IID Accuracy,Compositional Accuracy,Overall Accuracy,Number IID,Number Compositional,Guided Decoding,Dataset
0,t5-large,1,76.92307692307690,24.137931034482800,66.43835616438360,117,29,TRUE,Compas
1,EleutherAI/gpt-j-6B,10,49.57264957264960,3.44827586206896,40.41095890410960,117,29,TRUE,Compas
2,EleutherAI/gpt-j-6B,5,51.28205128205130,6.89655172413793,42.465753424657500,117,29,TRUE,Compas
3,EleutherAI/gpt-neo-1.3B,30,26.19047619047620,0.0,16.5,126,74,FALSE,German
4,EleutherAI/gpt-neo-1.3B,20,26.19047619047620,0.0,16.5,126,74,FALSE,German
5,EleutherAI/gpt-neo-1.3B,10,26.19047619047620,0.0,16.5,126,74,FALSE,German
6,t5-base,1,85.03401360544220,30.23255813953490,72.63157894736840,147,43,FALSE,Diabetes
7,t5-large,1,84.35374149659860,46.51162790697680,75.78947368421050,147,43,TRUE,Diabetes
8,EleutherAI/gpt-neo-125M,30,29.059829059829100,0.0,23.28767123287670,117,29,TRUE,Compas
9,EleutherAI/gpt-neo-125M,20,26.49572649572650,0.0,21.23287671232880,117,29,TRUE,Compas
10,EleutherAI/gpt-neo-125M,10,26.49572649572650,0.0,21.23287671232880,117,29,TRUE,Compas
11,t5-base,1,68.25396825396830,44.59459459459460,59.5,126,74,FALSE,German
12,EleutherAI/gpt-neo-125M,30,26.19047619047620,0.0,16.5,126,74,FALSE,German
13,EleutherAI/gpt-neo-125M,20,26.19047619047620,0.0,16.5,126,74,FALSE,German
14,EleutherAI/gpt-neo-125M,10,26.19047619047620,0.0,16.5,126,74,FALSE,German
15,EleutherAI/gpt-neo-2.7B,20,27.35042735042740,0.0,21.91780821917810,117,29,FALSE,Compas
16,EleutherAI/gpt-neo-2.7B,10,27.35042735042740,0.0,21.91780821917810,117,29,FALSE,Compas
17,EleutherAI/gpt-neo-2.7B,5,23.07692307692310,0.0,18.4931506849315,117,29,FALSE,Compas
18,t5-small,1,77.55102040816330,30.23255813953490,66.8421052631579,147,43,TRUE,Diabetes
19,EleutherAI/gpt-neo-1.3B,30,10.8843537414966,0.0,8.42105263157895,147,43,FALSE,Diabetes
20,EleutherAI/gpt-neo-1.3B,20,10.8843537414966,0.0,8.42105263157895,147,43,FALSE,Diabetes
21,EleutherAI/gpt-neo-1.3B,10,10.8843537414966,0.0,8.42105263157895,147,43,FALSE,Diabetes
22,EleutherAI/gpt-neo-2.7B,20,10.8843537414966,0.0,8.42105263157895,147,43,FALSE,Diabetes
