,templates
0,"['filter', 'insulin', 'not', 'equal', 'to', 'and', 'label', '[e]']"
1,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
2,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
3,"['filter', 'skinthickness', 'less', 'than', 'and', 'label', '[e]']"
4,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'label', '[e]']"
5,"['filter', 'bmi', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
6,"['filter', 'age', 'greater', 'than', 'and', 'label', '[e]']"
7,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
8,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
9,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
10,"['filter', 'insulin', 'greater', 'than', 'and', 'label', '[e]']"
11,"['filter', 'age', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
12,"['filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
13,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'insulin', 'less', 'than', 'and', 'label', '[e]']"
14,"['predictionfilter', 'and', 'labelfilter', 'unlikely', 'to', 'have', 'diabetes', 'and', 'label', '[e]']"
15,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
16,"['filter', 'age', 'greater', 'than', 'and', 'label', '[e]']"
17,"['filter', 'pregnancies', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
18,"['filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
19,"['filter', 'age', 'not', 'equal', 'to', 'and', 'label', '[e]']"
20,"['filter', 'pregnancies', 'greater', 'than', 'and', 'label', '[e]']"
21,"['filter', 'age', 'not', 'equal', 'to', 'and', 'label', '[e]']"
22,"['filter', 'pregnancies', 'less', 'than', 'and', 'label', '[e]']"
23,"['filter', 'bmi', 'less', 'equal', 'than', 'and', 'label', '[e]']"
24,"['filter', 'insulin', 'equal', 'to', 'and', 'label', '[e]']"
25,"['labelfilter', 'and', 'predictionfilter', 'and', 'label', '[e]']"
26,"['filter', 'insulin', 'greater', 'than', 'and', 'filter', 'skinthickness', 'less', 'than', 'and', 'label', '[e]']"
27,"['labelfilter', 'and', 'predictionfilter', 'and', 'label', '[e]']"
28,"['filter', 'diabetespedigreefunction', 'less', 'than', 'and', 'label', '[e]']"
29,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
30,"['filter', 'skinthickness', 'less', 'than', 'and', 'label', '[e]']"
31,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
32,"['filter', 'diabetespedigreefunction', 'not', 'equal', 'to', 'and', 'label', '[e]']"
33,"['filter', 'insulin', 'less', 'equal', 'than', 'and', 'label', '[e]']"
34,"['filter', 'age', 'greater', 'than', 'and', 'label', '[e]']"
35,"['filter', 'bloodpressure', 'not', 'equal', 'to', 'and', 'label', '[e]']"
36,"['filter', 'glucose', 'greater', 'than', 'and', 'filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
37,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'label', '[e]']"
38,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
39,"['filter', 'skinthickness', 'greater', 'than', 'and', 'filter', 'bloodpressure', 'less', 'than', 'and', 'label', '[e]']"
40,"['filter', 'bloodpressure', 'equal', 'to', 'and', 'label', '[e]']"
41,"['filter', 'age', 'greater', 'than', 'and', 'label', '[e]']"
42,"['filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
43,"['filter', 'glucose', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
44,"['filter', 'skinthickness', 'equal', 'to', 'and', 'label', '[e]']"
45,"['filter', 'age', 'less', 'than', 'and', 'label', '[e]']"
46,"['filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
47,"['filter', 'glucose', 'greater', 'than', 'and', 'label', '[e]']"
48,"['labelfilter', 'and', 'predictionfilter', 'and', 'label', '[e]']"
49,"['filter', 'diabetespedigreefunction', 'less', 'equal', 'than', 'and', 'label', '[e]']"
50,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
51,"['filter', 'bloodpressure', 'greater', 'than', 'and', 'label', '[e]']"
52,"['filter', 'diabetespedigreefunction', 'not', 'equal', 'to', 'and', 'label', '[e]']"
53,"['predictionfilter', 'and', 'labelfilter', 'and', 'label', '[e]']"
54,"['predictionfilter', 'and', 'labelfilter', 'and', 'label', '[e]']"
55,"['filter', 'bmi', 'less', 'than', 'and', 'label', '[e]']"
56,"['filter', 'bmi', 'greater', 'than', 'and', 'label', '[e]']"
57,"['filter', 'skinthickness', 'greater', 'than', 'and', 'label', '[e]']"
58,"['filter', 'bmi', 'greater', 'equal', 'than', 'and', 'label', '[e]']"
